Drawing,Date,1st ball,2nd ball,3rd ball,4th ball,5th ball,6th ball
151,1999-01-23,3,43,16,56,52,20
152,1999-01-30,12,5,15,51,58,29
153,1999-02-06,47,2,31,42,45,30
154,1999-02-13,8,10,24,33,45,48
155,1999-02-20,12,32,44,43,35,30
156,1999-02-27,52,23,42,17,55,49
157,1999-03-06,17,13,4,44,41,21
158,1999-03-13,58,43,51,14,17,4
159,1999-03-20,16,9,50,58,11,35
160,1999-03-27,13,42,52,58,2,54
161,1999-04-03,25,37,30,39,6,41
162,1999-04-10,23,33,51,38,48,21
163,1999-04-17,41,56,27,36,53,8
164,1999-04-24,4,19,14,10,44,28
165,1999-05-01,39,56,19,23,10,35
166,1999-05-08,60,57,59,13,12,22
167,1999-05-15,1,38,48,28,11,33
168,1999-05-22,45,2,35,9,50,31
169,1999-05-29,52,51,37,13,21,1
170,1999-06-05,7,51,55,41,58,46
171,1999-06-12,54,27,4,43,40,46
172,1999-06-19,49,36,14,26,35,10
173,1999-06-26,29,28,49,17,42,50
174,1999-07-03,11,52,22,23,36,59
175,1999-07-10,10,20,13,1,42,50
176,1999-07-17,28,4,1,45,53,3
177,1999-07-24,35,22,39,41,59,38
178,1999-07-31,5,27,19,26,15,33
179,1999-08-07,6,53,5,26,27,23
180,1999-08-14,39,6,29,60,51,23
181,1999-08-21,33,1,55,35,51,27
182,1999-08-28,46,60,5,10,28,3
183,1999-09-04,16,11,7,40,44,2
184,1999-09-11,9,60,21,16,41,34
185,1999-09-18,59,17,22,46,43,55
186,1999-09-25,24,26,51,25,14,23
187,1999-10-02,6,44,58,41,36,48
188,1999-10-10,34,42,43,46,27,17
189,1999-10-16,41,53,38,4,31,15
190,1999-10-24,32,40,42,21,10,5
191,1999-10-31,58,5,41,3,1,23
192,1999-11-06,1,60,26,41,28,54
193,1999-11-13,12,4,11,49,43,19
194,1999-11-20,32,42,43,25,28,33
195,1999-11-27,17,3,44,37,9,32
196,1999-12-04,32,17,9,14,24,7
197,1999-12-11,19,52,29,15,12,5
198,1999-12-18,40,23,1,18,35,8
199,1999-12-24,52,37,57,16,10,50
200,1999-12-31,12,15,44,34,51,19
201,2000-01-08,55,22,5,30,35,20
202,2000-01-15,49,53,44,12,24,45
203,2000-01-22,11,55,44,19,29,47
204,2000-01-29,31,41,51,39,58,29
205,2000-02-05,26,32,54,43,46,40
206,2000-02-12,20,26,56,18,34,51
207,2000-02-19,19,7,3,55,24,53
208,2000-02-26,23,15,57,24,47,25
209,2000-03-04,13,52,32,41,21,26
210,2000-03-11,37,58,20,38,48,32
211,2000-03-18,10,20,40,45,50,33
212,2000-03-25,29,57,15,45,59,6
213,2000-04-01,3,30,9,35,23,32
214,2000-04-08,30,12,6,50,35,31
215,2000-04-15,7,58,28,53,37,46
216,2000-04-22,35,42,59,18,30,14
217,2000-04-29,27,32,3,51,49,45
218,2000-05-06,54,40,42,17,47,12
219,2000-05-13,26,23,49,28,42,36
220,2000-05-20,36,53,55,13,60,14
221,2000-05-27,54,13,58,43,50,27
222,2000-06-03,5,48,30,55,52,19
223,2000-06-10,28,24,22,2,58,6
224,2000-06-17,20,16,18,7,44,21
225,2000-06-24,21,16,4,37,2,58
226,2000-07-01,2,50,59,38,49,1
227,2000-07-08,37,26,27,42,11,48
228,2000-07-15,16,40,45,59,43,13
229,2000-07-22,39,45,11,21,33,13
230,2000-07-29,56,44,41,40,8,53
231,2000-08-05,16,59,27,42,44,36
232,2000-08-12,29,19,41,22,37,59
233,2000-08-19,45,3,24,36,7,32
234,2000-08-26,15,45,54,25,42,41
235,2000-09-02,29,41,55,2,31,22
236,2000-09-09,10,52,50,57,25,60
237,2000-09-16,36,7,45,31,56,57
238,2000-09-23,15,9,41,13,37,42
239,2000-09-30,33,21,44,46,47,6
240,2000-10-07,59,28,25,41,57,38
241,2000-10-14,11,57,40,35,56,31
242,2000-10-21,22,7,4,21,28,56
243,2000-10-28,20,47,23,32,16,11
244,2000-11-04,19,60,50,24,47,33
245,2000-11-11,44,51,27,53,8,60
246,2000-11-18,2,57,32,43,16,37
247,2000-11-25,34,3,30,10,23,46
248,2000-12-02,56,16,34,41,35,32
249,2000-12-09,21,55,54,40,36,49
250,2000-12-16,55,25,41,42,43,7
251,2000-12-23,34,15,23,55,49,30
252,2000-12-30,17,54,4,51,32,26
253,2001-01-06,12,11,56,44,24,37
254,2001-01-13,4,30,56,21,22,1
255,2001-01-20,32,44,55,19,20,16
256,2001-01-27,21,52,34,26,2,32
257,2001-02-03,28,5,1,34,4,19
258,2001-02-10,12,60,54,7,55,50
259,2001-02-17,20,43,33,13,15,58
260,2001-02-24,43,4,60,59,6,33
261,2001-03-03,5,54,20,56,30,16
262,2001-03-10,53,60,48,20,58,11
263,2001-03-17,8,50,26,9,53,43
264,2001-03-24,5,25,31,13,1,33
265,2001-03-31,7,50,53,16,41,34
266,2001-04-07,38,54,48,23,2,46
267,2001-04-14,58,1,45,55,8,46
268,2001-04-21,21,10,47,6,5,33
269,2001-04-28,19,18,52,25,17,49
270,2001-05-05,45,27,35,40,5,9
271,2001-05-12,14,31,54,29,26,24
272,2001-05-19,36,58,9,10,56,24
273,2001-05-26,47,52,10,27,23,17
274,2001-06-02,11,39,47,18,13,26
275,2001-06-09,16,30,19,38,48,37
276,2001-06-16,53,59,39,45,22,57
277,2001-06-23,40,26,38,4,56,52
278,2001-06-30,22,10,18,55,15,31
279,2001-07-07,31,59,4,58,23,47
280,2001-07-14,5,16,30,25,58,20
281,2001-07-21,11,5,47,31,53,38
282,2001-07-28,33,24,36,9,14,23
283,2001-08-01,48,34,28,54,25,42
284,2001-08-04,8,36,14,32,30,7
285,2001-08-08,50,56,41,12,32,37
286,2001-08-11,44,37,56,29,47,35
287,2001-08-15,60,47,3,33,25,13
288,2001-08-18,50,9,18,11,6,17
289,2001-08-22,36,6,30,20,7,25
290,2001-08-25,57,30,7,25,40,26
291,2001-08-29,22,16,5,41,18,17
292,2001-09-01,24,34,53,45,23,13
293,2001-09-05,6,12,35,5,28,7
294,2001-09-08,28,45,41,22,57,25
295,2001-09-12,24,44,7,31,12,50
296,2001-09-15,20,51,42,3,52,46
297,2001-09-19,20,28,41,1,33,36
298,2001-09-22,22,34,24,23,5,60
299,2001-09-26,7,5,2,53,33,49
300,2001-09-29,27,57,41,38,28,24
301,2001-10-03,58,26,49,57,48,9
302,2001-10-06,25,40,12,60,30,41
303,2001-10-10,7,13,30,37,47,17
304,2001-10-13,42,7,11,34,59,41
305,2001-10-17,11,5,27,60,38,53
306,2001-10-20,30,19,57,41,56,47
307,2001-10-24,26,17,13,41,16,44
308,2001-10-27,55,25,4,11,29,39
309,2001-10-31,39,50,25,55,11,4
310,2001-11-03,28,14,29,2,31,32
311,2001-11-07,32,22,24,41,30,38
312,2001-11-10,14,30,50,41,47,23
313,2001-11-14,14,38,53,24,16,37
314,2001-11-17,5,32,40,58,37,34
315,2001-11-21,50,21,43,12,28,22
316,2001-11-24,28,51,56,6,24,43
317,2001-11-28,27,20,48,16,30,35
318,2001-12-01,19,53,40,3,31,20
319,2001-12-05,12,16,23,17,19,48
320,2001-12-08,20,53,47,50,22,27
321,2001-12-12,11,31,32,48,49,4
322,2001-12-15,18,11,29,44,47,56
323,2001-12-19,31,49,54,33,26,40
324,2001-12-22,22,8,30,15,47,25
325,2001-12-29,4,23,3,1,21,53
326,2002-01-05,52,23,40,51,44,21
327,2002-01-09,46,38,29,33,32,48
328,2002-01-12,51,5,23,7,14,21
329,2002-01-16,24,11,40,12,35,10
330,2002-01-19,2,4,23,37,14,51
331,2002-01-23,27,1,35,20,37,13
332,2002-01-26,28,23,42,29,44,34
333,2002-01-30,35,27,53,44,52,4
334,2002-02-02,41,26,51,14,24,23
335,2002-02-06,43,33,57,23,59,7
336,2002-02-09,2,18,54,22,30,26
337,2002-02-16,31,52,14,54,16,4
338,2002-02-20,48,46,9,1,36,4
339,2002-02-23,13,16,12,5,27,50
340,2002-02-27,10,60,42,9,33,12
341,2002-03-02,56,23,22,43,16,5
342,2002-03-06,29,49,54,51,16,34
343,2002-03-09,4,6,7,24,12,41
344,2002-03-13,33,36,12,35,10,14
345,2002-03-16,56,11,58,46,51,22
346,2002-03-20,56,7,46,60,41,12
347,2002-03-23,26,10,52,1,12,48
348,2002-03-27,39,40,33,52,19,30
349,2002-03-30,9,38,32,8,54,28
350,2002-04-03,23,30,43,10,15,57
351,2002-04-06,15,16,59,60,24,41
352,2002-04-10,49,7,47,25,20,44
353,2002-04-13,60,46,30,55,23,19
354,2002-04-17,40,52,38,16,7,41
355,2002-04-20,2,37,22,60,14,23
356,2002-04-24,54,19,5,58,56,21
357,2002-04-27,45,53,32,2,30,35
358,2002-05-04,40,42,32,12,21,17
359,2002-05-08,31,54,20,29,13,19
360,2002-05-11,47,24,29,55,53,23
